2017-03-22 13:27:50,980 | INFO  | es.transaction]) | context                          | 86 - org.apache.aries.jpa.container.context - 1.0.4 | A TransactionSynchronizationRegistry service is now available in the runtime. Managed persistence contexts will now integrate with JTA transactions using [org.apache.aries.transaction.AriesTransactionManager, javax.transaction.TransactionManager, javax.transaction.TransactionSynchronizationRegistry, javax.transaction.UserTransaction, org.apache.geronimo.transaction.manager.RecoverableTransactionManager].
2017-03-22 13:27:50,993 | INFO  | FelixStartLevel  | CommandExtension                 | 43 - org.apache.karaf.shell.core - 4.0.8 | Registering commands for bundle org.apache.karaf.http.core/4.0.8
2017-03-22 13:27:51,019 | INFO  | FelixStartLevel  | CommandExtension                 | 43 - org.apache.karaf.shell.core - 4.0.8 | Registering commands for bundle org.apache.karaf.jndi.core/4.0.8
2017-03-22 13:27:51,035 | INFO  | FelixStartLevel  | CommandExtension                 | 43 - org.apache.karaf.shell.core - 4.0.8 | Registering commands for bundle org.apache.karaf.obr.core/4.0.8
2017-03-22 13:27:51,044 | INFO  | FelixStartLevel  | CommandExtension                 | 43 - org.apache.karaf.shell.core - 4.0.8 | Command registration delayed for bundle org.apache.karaf.web.core/4.0.8. Missing dependencies: [org.apache.karaf.web.WebContainerService]
2017-03-22 13:27:51,293 | INFO  | FelixStartLevel  | FeaturesPlugin                   | 120 - org.apache.karaf.webconsole.features - 4.0.8 | Features plugin activated
2017-03-22 13:27:51,301 | INFO  | FelixStartLevel  | GogoPlugin                       | 121 - org.apache.karaf.webconsole.gogo - 4.0.8 | Gogo plugin activated
2017-03-22 13:27:51,323 | INFO  | FelixStartLevel  | HttpPlugin                       | 122 - org.apache.karaf.webconsole.http - 4.0.8 | Http plugin activated
2017-03-22 13:27:51,329 | INFO  | FelixStartLevel  | InstancePlugin                   | 123 - org.apache.karaf.webconsole.instance - 4.0.8 | Instance plugin activated
2017-03-22 13:27:51,330 | INFO  | FelixStartLevel  | CommandExtension                 | 43 - org.apache.karaf.shell.core - 4.0.8 | Registering commands for bundle org.apache.karaf.webconsole.instance/4.0.8
2017-03-22 13:27:51,352 | INFO  | FelixStartLevel  | CommandExtension                 | 43 - org.apache.karaf.shell.core - 4.0.8 | Registering commands for bundle org.apache.karaf.wrapper.core/4.0.8
2017-03-22 13:27:51,725 | INFO  | pool-27-thread-2 | CommandExtension                 | 43 - org.apache.karaf.shell.core - 4.0.8 | Registering commands for bundle org.apache.karaf.web.core/4.0.8
2017-03-22 13:27:51,832 | WARN  | FelixStartLevel  | ServletTracker                   | 196 - org.ops4j.pax.web.pax-web-extender-whiteboard - 4.3.0 | Registered servlet [org.apache.felix.webconsole.plugins.event.internal.PluginServlet@6463a774] did not contain a valid alias or url patterns property
2017-03-22 13:27:51,832 | WARN  | FelixStartLevel  | ServletTracker                   | 196 - org.ops4j.pax.web.pax-web-extender-whiteboard - 4.3.0 | Registered servlet [org.apache.karaf.webconsole.http.HttpPlugin@40828d1] did not contain a valid alias or url patterns property
2017-03-22 13:27:51,927 | INFO  | FelixStartLevel  | Activator                        | 199 - org.ops4j.pax.web.pax-web-runtime - 4.3.0 | EventAdmin support enabled, servlet events will be postet to topics.
2017-03-22 13:27:51,929 | INFO  | FelixStartLevel  | Activator                        | 199 - org.ops4j.pax.web.pax-web-runtime - 4.3.0 | LogService support enabled, log events will be created.
2017-03-22 13:27:51,945 | INFO  | FelixStartLevel  | Activator                        | 199 - org.ops4j.pax.web.pax-web-runtime - 4.3.0 | Pax Web started
2017-03-22 13:27:52,271 | INFO  | onfig-2-thread-1 | log                              | 170 - org.eclipse.jetty.util - 9.2.19.v20160908 | Logging initialized @28469ms
2017-03-22 13:27:52,357 | INFO  | FelixStartLevel  | ContextLoaderListener            | 211 - org.springframework.osgi.extender - 1.2.1 | Starting [org.springframework.osgi.extender] bundle v.[1.2.1]
2017-03-22 13:27:52,566 | INFO  | onfig-2-thread-1 | JettyFactoryImpl                 | 197 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | SPDY not available, creating standard ServerConnector for Http
2017-03-22 13:27:52,596 | INFO  | FelixStartLevel  | ExtenderConfiguration            | 211 - org.springframework.osgi.extender - 1.2.1 | No custom extender configuration detected; using defaults...
2017-03-22 13:27:52,600 | INFO  | FelixStartLevel  | TimerTaskExecutor                | 135 - org.apache.servicemix.bundles.spring-context - 3.2.17.RELEASE_1 | Initializing Timer
2017-03-22 13:27:52,664 | INFO  | onfig-2-thread-1 | JettyServerImpl                  | 197 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | Pax Web available at [0.0.0.0]:[8181]
2017-03-22 13:27:52,734 | INFO  | onfig-2-thread-1 | HttpServiceFactoryImpl           | 199 - org.ops4j.pax.web.pax-web-runtime - 4.3.0 | Binding bundle: [org.apache.karaf.webconsole.gogo [121]] to http service
2017-03-22 13:27:52,822 | INFO  | onfig-2-thread-1 | JettyServerWrapper               | 197 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | will add org.eclipse.jetty.websocket.jsr356.server.deploy.WebSocketServerContainerInitializer to ServletContainerInitializers
2017-03-22 13:27:53,297 | INFO  | onfig-2-thread-1 | JettyServerWrapper               | 197 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | added ServletContainerInitializer: org.eclipse.jetty.websocket.jsr356.server.deploy.WebSocketServerContainerInitializer
2017-03-22 13:27:53,299 | INFO  | onfig-2-thread-1 | JettyServerWrapper               | 197 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | will add org.apache.jasper.servlet.JasperInitializer to ServletContainerInitializers
2017-03-22 13:27:53,299 | INFO  | onfig-2-thread-1 | JettyServerWrapper               | 197 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | Skipt org.apache.jasper.servlet.JasperInitializer, because specialized handler will be present
2017-03-22 13:27:53,424 | INFO  | onfig-2-thread-1 | HttpServiceContext               | 197 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | registering context DefaultHttpContext [bundle=org.apache.karaf.webconsole.gogo [121], contextID=default], with context-name: 
2017-03-22 13:27:53,442 | INFO  | onfig-2-thread-1 | HttpServiceContext               | 197 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | registering JasperInitializer
2017-03-22 13:27:53,578 | INFO  | FelixStartLevel  | container                        | 85 - org.apache.aries.jpa.container - 1.0.2 | The bundle mebitech-tgs-web/1.0.0.SNAPSHOT specifies the Web-ContextPath header; it does not specify the Meta-Persistence header. This bundle will be scanned for persistence descriptors in the locations: [META-INF/persistence.xml, WEB-INF/classes/META-INF/persistence.xml] using the rules defined by the JPA specification for finding persistence descriptors for web applications.
2017-03-22 13:27:53,603 | WARN  | FelixStartLevel  | OSGiScriptEngineManager          | 55 - com.hazelcast.all - 3.1.7 | Found ScriptEngineFactory candidate for com.sun.script.javascript.RhinoScriptEngineFactory, but cannot load class! -> java.lang.ClassNotFoundException: com.sun.script.javascript.RhinoScriptEngineFactory not found by com.hazelcast.all [55]
2017-03-22 13:27:53,619 | INFO  | onfig-2-thread-1 | TldScanner                       | 198 - org.ops4j.pax.web.pax-web-jsp - 4.3.0 | found TLD bundle://198.0:0/META-INF/c-1_0-rt.tld
2017-03-22 13:27:53,635 | INFO  | onfig-2-thread-1 | TldScanner                       | 198 - org.ops4j.pax.web.pax-web-jsp - 4.3.0 | found TLD bundle://198.0:0/META-INF/c-1_0.tld
2017-03-22 13:27:53,644 | INFO  | onfig-2-thread-1 | TldScanner                       | 198 - org.ops4j.pax.web.pax-web-jsp - 4.3.0 | found TLD bundle://198.0:0/META-INF/c.tld
2017-03-22 13:27:53,659 | INFO  | onfig-2-thread-1 | TldScanner                       | 198 - org.ops4j.pax.web.pax-web-jsp - 4.3.0 | found TLD bundle://198.0:0/META-INF/fmt-1_0-rt.tld
2017-03-22 13:27:53,664 | INFO  | onfig-2-thread-1 | TldScanner                       | 198 - org.ops4j.pax.web.pax-web-jsp - 4.3.0 | found TLD bundle://198.0:0/META-INF/fmt-1_0.tld
2017-03-22 13:27:53,670 | INFO  | onfig-2-thread-1 | TldScanner                       | 198 - org.ops4j.pax.web.pax-web-jsp - 4.3.0 | found TLD bundle://198.0:0/META-INF/fmt.tld
2017-03-22 13:27:53,673 | INFO  | onfig-2-thread-1 | TldScanner                       | 198 - org.ops4j.pax.web.pax-web-jsp - 4.3.0 | found TLD bundle://198.0:0/META-INF/fn.tld
2017-03-22 13:27:53,690 | INFO  | onfig-2-thread-1 | TldScanner                       | 198 - org.ops4j.pax.web.pax-web-jsp - 4.3.0 | found TLD bundle://198.0:0/META-INF/permittedTaglibs.tld
2017-03-22 13:27:53,691 | INFO  | onfig-2-thread-1 | TldScanner                       | 198 - org.ops4j.pax.web.pax-web-jsp - 4.3.0 | found TLD bundle://198.0:0/META-INF/scriptfree.tld
2017-03-22 13:27:53,692 | INFO  | onfig-2-thread-1 | TldScanner                       | 198 - org.ops4j.pax.web.pax-web-jsp - 4.3.0 | found TLD bundle://198.0:0/META-INF/sql-1_0-rt.tld
2017-03-22 13:27:53,695 | INFO  | onfig-2-thread-1 | TldScanner                       | 198 - org.ops4j.pax.web.pax-web-jsp - 4.3.0 | found TLD bundle://198.0:0/META-INF/sql-1_0.tld
2017-03-22 13:27:53,712 | INFO  | onfig-2-thread-1 | TldScanner                       | 198 - org.ops4j.pax.web.pax-web-jsp - 4.3.0 | found TLD bundle://198.0:0/META-INF/sql.tld
2017-03-22 13:27:53,714 | INFO  | onfig-2-thread-1 | TldScanner                       | 198 - org.ops4j.pax.web.pax-web-jsp - 4.3.0 | found TLD bundle://198.0:0/META-INF/x-1_0-rt.tld
2017-03-22 13:27:53,716 | INFO  | onfig-2-thread-1 | TldScanner                       | 198 - org.ops4j.pax.web.pax-web-jsp - 4.3.0 | found TLD bundle://198.0:0/META-INF/x-1_0.tld
2017-03-22 13:27:53,718 | INFO  | FelixStartLevel  | DefaultLdapCodecService          | 102 - org.apache.directory.api.ldap.codec.core - 1.0.0.M20 | Registered pre-bundled control factory: 1.3.6.1.4.1.18060.0.0.1
2017-03-22 13:27:53,719 | INFO  | FelixStartLevel  | DefaultLdapCodecService          | 102 - org.apache.directory.api.ldap.codec.core - 1.0.0.M20 | Registered pre-bundled control factory: 2.16.840.1.113730.3.4.7
2017-03-22 13:27:53,721 | INFO  | onfig-2-thread-1 | TldScanner                       | 198 - org.ops4j.pax.web.pax-web-jsp - 4.3.0 | found TLD bundle://198.0:0/META-INF/x.tld
