2017-03-03 10:21:06,738 | INFO  | tp2098438518-128 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-03 10:21:06,739 | INFO  | tp2098438518-128 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-03 10:21:06,890 | INFO  | tp2098438518-127 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-03 10:21:06,891 | INFO  | tp2098438518-127 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-03 10:21:07,103 | INFO  | tp2098438518-130 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-03 10:21:07,407 | INFO  | tp2098438518-130 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-03 10:21:07,510 | INFO  | tp2098438518-129 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-03 10:21:07,510 | INFO  | tp2098438518-129 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-03 10:21:07,706 | INFO  | tp2098438518-126 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-03 10:21:07,706 | INFO  | tp2098438518-126 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-03 10:21:07,904 | INFO  | tp2098438518-128 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-03 10:21:07,905 | INFO  | tp2098438518-128 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-03 10:21:08,120 | INFO  | tp2098438518-127 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-03 10:21:08,121 | INFO  | tp2098438518-127 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-03 10:21:08,322 | INFO  | tp2098438518-130 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-03 10:21:08,322 | INFO  | tp2098438518-130 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-03 10:21:08,521 | INFO  | tp2098438518-129 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-03 10:21:08,521 | INFO  | tp2098438518-129 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-03 10:21:08,723 | INFO  | tp2098438518-126 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-03 10:21:08,723 | INFO  | tp2098438518-126 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-03 10:21:08,911 | INFO  | tp2098438518-128 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-03 10:21:08,912 | INFO  | tp2098438518-128 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-03 10:21:09,093 | INFO  | tp2098438518-127 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-03 10:21:09,093 | INFO  | tp2098438518-127 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-03 10:21:09,275 | INFO  | tp2098438518-130 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-03 10:21:09,275 | INFO  | tp2098438518-130 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-03 10:21:09,465 | INFO  | tp2098438518-129 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-03 10:21:09,465 | INFO  | tp2098438518-129 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-03 10:21:09,660 | INFO  | tp2098438518-126 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-03 10:21:09,660 | INFO  | tp2098438518-126 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-03 10:21:09,845 | INFO  | tp2098438518-128 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-03 10:21:09,845 | INFO  | tp2098438518-128 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-15 17:12:06,115 | INFO  | tp1081590943-111 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - karaf
2017-03-15 17:12:06,123 | INFO  | tp1081590943-111 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication succeeded - karaf
2017-03-15 17:12:08,275 | INFO  | tp1081590943-113 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - karaf
2017-03-15 17:12:08,276 | INFO  | tp1081590943-113 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication succeeded - karaf
2017-03-15 17:12:10,317 | INFO  | tp1081590943-111 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - karaf
2017-03-15 17:12:10,317 | INFO  | tp1081590943-111 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication succeeded - karaf
2017-03-15 17:12:12,329 | INFO  | tp1081590943-114 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - karaf
2017-03-15 17:12:12,330 | INFO  | tp1081590943-114 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication succeeded - karaf
